2021-05-02 19:27:44,982 | root | INFO |  ------------------------ Starting new upload ------------------------ 
2021-05-02 19:27:46,405 | root | INFO | Running in regular '-path' mode, starting upload now
2021-05-02 19:27:46,408 | root | INFO | uploading the following file: /home/madskillz/TROUT.1080p/Aamchya.Sarkhe.Aamhich.1990.AMZN WEB-DL.1080p.DDP.2.0-TROUT.mkv
2021-05-02 19:27:47,113 | root | INFO | Used pymediainfo to identify the video_codec: H.264
2021-05-02 19:27:47,156 | root | INFO | Used (pymediainfo + audio_codec_dict) to identify the audio codec: DDP
2021-05-02 19:27:47,198 | root | INFO | Generating mediainfo.txt
2021-05-02 19:27:47,198 | root | INFO | Using the following path in mediainfo.txt: Aamchya.Sarkhe.Aamhich.1990.AMZN WEB-DL.1080p.DDP.2.0-TROUT.mkv
2021-05-02 19:27:47,237 | root | INFO | Saving mediainfo to: /home/madskillz/xpbot/temp_upload/mediainfo.txt
2021-05-02 19:27:47,262 | root | INFO | Used Regex to extract the WEB Source: AMZN
2021-05-02 19:27:47,264 | root | INFO | No custom 'edition' found for this torrent
2021-05-02 19:27:47,264 | root | INFO | We are missing both the 'TMDB' & 'IMDB' ID, trying to identify it via title & year
2021-05-02 19:27:47,428 | root | INFO | GET Request: https://api.themoviedb.org/3/search/movie?api_key=2f426445f1e6100085f45800bfa7dccf&query=Aamchya Sarkhe Aamhich&page=1&include_adult=false&year=1990
2021-05-02 19:27:47,429 | root | CRITICAL | No results found on TMDB using the title 'Aamchya Sarkhe Aamhich' and the year '1990'
2021-05-02 19:29:05,890 | root | INFO |  ------------------------ Starting new upload ------------------------ 
2021-05-02 19:29:07,242 | root | INFO | Running in regular '-path' mode, starting upload now
2021-05-02 19:29:07,243 | root | INFO | deleted the contents of the folder: /home/madskillz/xpbot/temp_upload/
2021-05-02 19:29:07,243 | root | INFO | deleted the contents of the folder: /home/madskillz/xpbot/images/screenshots/
2021-05-02 19:29:07,243 | root | INFO | uploading the following file: /home/madskillz/TROUT.1080p/Aamchya.Sarkhe.Aamhich.1990.AMZN.WEB-DL.1080p.DDP.2.0-TROUT.mkv
2021-05-02 19:29:08,077 | root | INFO | Used pymediainfo to identify the video_codec: H.264
2021-05-02 19:29:08,118 | root | INFO | Used (pymediainfo + audio_codec_dict) to identify the audio codec: DDP
2021-05-02 19:29:08,162 | root | INFO | Generating mediainfo.txt
2021-05-02 19:29:08,162 | root | INFO | Using the following path in mediainfo.txt: Aamchya.Sarkhe.Aamhich.1990.AMZN.WEB-DL.1080p.DDP.2.0-TROUT.mkv
2021-05-02 19:29:08,204 | root | INFO | Saving mediainfo to: /home/madskillz/xpbot/temp_upload/mediainfo.txt
2021-05-02 19:29:08,223 | root | INFO | Used Regex to extract the WEB Source: AMZN
2021-05-02 19:29:08,224 | root | INFO | No custom 'edition' found for this torrent
2021-05-02 19:29:08,224 | root | INFO | We are missing 'tmdb' starting TMDB API request now
